"Issuer Company","Open Date","Close Date","Listing Date","Issue Price (Rs)","Issue Size (Rs Cr.)","Lot Size","Exchange","Compare"
"Suraksha Diagnostic Limited IPO","Nov 29, 2024","Dec 03, 2024","Dec 06, 2024","441","846.25","34","BSE, NSE",""
"Enviro Infra Engineers Limited IPO","Nov 22, 2024","Nov 26, 2024","Nov 29, 2024","148","650.43","101","BSE, NSE",""
"NTPC Green Energy Limited IPO","Nov 19, 2024","Nov 22, 2024","Nov 27, 2024","108","10,000.00","138","BSE, NSE",""
"Zinka Logistics Solution Limited IPO","Nov 13, 2024","Nov 18, 2024","Nov 22, 2024","273","1,114.72","54","BSE, NSE",""
"Niva Bupa Health Insurance Company Limited IPO","Nov 07, 2024","Nov 11, 2024","Nov 14, 2024","74","2,200.00","200","BSE, NSE",""
"ACME Solar Holdings Limited IPO","Nov 06, 2024","Nov 08, 2024","Nov 13, 2024","289","2,900.00","51","BSE, NSE",""
"Swiggy Limited IPO","Nov 06, 2024","Nov 08, 2024","Nov 13, 2024","390","11,327.43","38","BSE, NSE",""
"Sagility India Limited IPO","Nov 05, 2024","Nov 07, 2024","Nov 12, 2024","30","2,106.60","500","BSE, NSE",""
"Afcons Infrastructure Limited IPO","Oct 25, 2024","Oct 29, 2024","Nov 04, 2024","463","5,430.00","32","BSE, NSE",""
"Godavari Biorefineries Limited IPO","Oct 23, 2024","Oct 25, 2024","Oct 30, 2024","352","554.75","42","BSE, NSE",""
"Deepak Builders & Engineers India Limited IPO","Oct 21, 2024","Oct 23, 2024","Oct 28, 2024","203","260.04","73","BSE, NSE",""
"Waaree Energies Limited IPO","Oct 21, 2024","Oct 23, 2024","Oct 28, 2024","1,503","4,321.44","9","BSE, NSE",""
"Hyundai Motor India Limited IPO","Oct 15, 2024","Oct 17, 2024","Oct 22, 2024","1,960","27,870.16","7","BSE, NSE",""
"Garuda Construction and Engineering Limited IPO","Oct 08, 2024","Oct 10, 2024","Oct 15, 2024","95","264.10","157","BSE, NSE",""
"Diffusion Engineers Limited IPO","Sep 26, 2024","Sep 30, 2024","Oct 04, 2024","168","158.00","88","BSE, NSE",""
"KRN Heat Exchanger and Refrigeration Limited IPO","Sep 25, 2024","Sep 27, 2024","Oct 03, 2024","220","341.95","65","BSE, NSE",""
"Manba Finance Limited IPO","Sep 23, 2024","Sep 25, 2024","Sep 30, 2024","120","150.84","125","BSE, NSE",""
"Northern Arc Capital Limited IPO","Sep 16, 2024","Sep 19, 2024","Sep 24, 2024","263","777.00","57","BSE, NSE",""
"Arkade Developers Limited IPO","Sep 16, 2024","Sep 19, 2024","Sep 24, 2024","128","410.00","110","BSE, NSE",""
"Western Carriers (India) Limited IPO","Sep 13, 2024","Sep 19, 2024","Sep 24, 2024","172","492.88","87","BSE, NSE",""
"P N Gadgil Jewellers Limited IPO","Sep 10, 2024","Sep 12, 2024","Sep 17, 2024","480","1,100.00","31","BSE, NSE",""
"Kross Limited IPO","Sep 09, 2024","Sep 11, 2024","Sep 16, 2024","240","500.00","62","BSE, NSE",""
"Tolins Tyres Limited IPO","Sep 09, 2024","Sep 11, 2024","Sep 16, 2024","226","230.00","66","BSE, NSE",""
"Bajaj Housing Finance Limited IPO","Sep 09, 2024","Sep 11, 2024","Sep 16, 2024","70","6,560.00","214","BSE, NSE",""
"Shree Tirupati Balajee Agro Trading Company Limited IPO","Sep 05, 2024","Sep 09, 2024","Sep 12, 2024","83","169.65","180","BSE, NSE",""
"Gala Precision Engineering Limited IPO","Sep 02, 2024","Sep 04, 2024","Sep 09, 2024","529","167.93","28","BSE, NSE",""
"Baazar Style Retail Limited IPO","Aug 30, 2024","Sep 03, 2024","Sep 06, 2024","389","834.68","38","BSE, NSE",""
"ECOS (India) Mobility & Hospitality Limited IPO","Aug 28, 2024","Aug 30, 2024","Sep 04, 2024","334","601.20","44","BSE, NSE",""
"Premier Energies Limited IPO","Aug 27, 2024","Aug 29, 2024","Sep 03, 2024","450","2,830.40","33","BSE, NSE",""
"Orient Technologies Limited IPO","Aug 21, 2024","Aug 23, 2024","Aug 28, 2024","206","214.76","72","BSE, NSE",""
"Interarch Building Products Limited IPO","Aug 19, 2024","Aug 21, 2024","Aug 26, 2024","900","600.29","16","BSE, NSE",""
"Saraswati Saree Depot Limited IPO","Aug 12, 2024","Aug 14, 2024","Aug 20, 2024","160","160.01","90","BSE, NSE",""
"Unicommerce eSolutions Limited IPO","Aug 06, 2024","Aug 08, 2024","Aug 13, 2024","108","276.57","138","BSE, NSE",""
"Brainbees Solutions Limited IPO","Aug 06, 2024","Aug 08, 2024","Aug 13, 2024","465","4,193.73","32","BSE, NSE",""
"Ola Electric Mobility Limited IPO","Aug 02, 2024","Aug 06, 2024","Aug 09, 2024","76","6,145.56","195","BSE, NSE",""
"Ceigall India Limited IPO","Aug 01, 2024","Aug 05, 2024","Aug 08, 2024","401","1,252.66","37","BSE, NSE",""
"Akums Drugs and Pharmaceuticals Limited IPO","Jul 30, 2024","Aug 01, 2024","Aug 06, 2024","679","1,856.74","22","BSE, NSE",""
"Sanstar Limited IPO","Jul 19, 2024","Jul 23, 2024","Jul 26, 2024","95","510.15","150","BSE, NSE",""
"Bansal Wire Industries Limited IPO","Jul 03, 2024","Jul 05, 2024","Jul 10, 2024","256","745.00","58","BSE, NSE",""
"Emcure Pharmaceuticals Limited IPO","Jul 03, 2024","Jul 05, 2024","Jul 10, 2024","1,008","1,952.03","14","BSE, NSE",""
"Vraj Iron and Steel Limited IPO","Jun 26, 2024","Jun 28, 2024","Jul 03, 2024","207","171.00","72","BSE, NSE",""
"Allied Blenders and Distillers Limited IPO","Jun 25, 2024","Jun 27, 2024","Jul 02, 2024","281","1,500.00","53","BSE, NSE",""
"Stanley Lifestyles Limited IPO","Jun 21, 2024","Jun 25, 2024","Jun 28, 2024","369","537.02","40","BSE, NSE",""
"Akme Fintrade India Ltd IPO","Jun 19, 2024","Jun 21, 2024","Jun 26, 2024","120","132.00","125","BSE, NSE",""
"DEE Development Engineers Limited IPO","Jun 19, 2024","Jun 21, 2024","Jun 26, 2024","203","418.01","73","BSE, NSE",""
"Le Travenues Technology Ltd IPO","Jun 10, 2024","Jun 12, 2024","Jun 18, 2024","93","740.10","161","BSE, NSE",""
"Kronox Lab Sciences Limited IPO","Jun 03, 2024","Jun 05, 2024","Jun 10, 2024","136","130.15","110","BSE, NSE",""
"Awfis Space Solutions Limited IPO","May 22, 2024","May 27, 2024","May 30, 2024","383","598.93","39","BSE, NSE",""
"Go Digit General Insurance Limited IPO","May 15, 2024","May 17, 2024","May 23, 2024","272","2,614.65","55","BSE, NSE",""
"Aadhar Housing Finance Limited IPO","May 08, 2024","May 10, 2024","May 15, 2024","315","3,000.00","47","BSE, NSE",""
"TBO Tek Limited IPO","May 08, 2024","May 10, 2024","May 15, 2024","920","1,550.81","16","BSE, NSE",""
"Indegene Limited IPO","May 06, 2024","May 08, 2024","May 13, 2024","452","1,841.76","33","BSE, NSE",""
"JNK India Limited IPO","Apr 23, 2024","Apr 25, 2024","Apr 30, 2024","415","649.47","36","BSE, NSE",""
"Vodafone Idea Limited FPO","Apr 18, 2024","Apr 22, 2024","Apr 25, 2024","11","18,000.00","1,298","BSE, NSE",""
"Bharti Hexacom Limited IPO","Apr 03, 2024","Apr 05, 2024","Apr 12, 2024","570","4,275.00","26","BSE, NSE",""
"SRM Contractors Limited IPO","Mar 26, 2024","Mar 28, 2024","Apr 03, 2024","210","130.20","70","BSE, NSE",""
"Krystal Integrated Services Limited IPO","Mar 14, 2024","Mar 18, 2024","Mar 21, 2024","715","300.13","20","BSE, NSE",""
"Popular Vehicles & Services Limited IPO","Mar 12, 2024","Mar 14, 2024","Mar 19, 2024","295","601.55","50","BSE, NSE",""
"Gopal Snacks Limited IPO","Mar 06, 2024","Mar 11, 2024","Mar 14, 2024","401","650.00","37","BSE, NSE",""
"JG Chemicals Limited IPO","Mar 05, 2024","Mar 07, 2024","Mar 13, 2024","221","251.19","67","BSE, NSE",""
"R K SWAMY Limited IPO","Mar 04, 2024","Mar 06, 2024","Mar 12, 2024","288","423.56","50","BSE, NSE",""
"Mukka Proteins Limited IPO","Feb 29, 2024","Mar 04, 2024","Mar 07, 2024","28","224.00","535","BSE, NSE",""
"Bharat Highways Infrastructure Investment Trust InvIT","Feb 28, 2024","Mar 01, 2024","Mar 12, 2024","100","2,500.00","150","BSE, NSE",""
"Exicom Tele-Systems Limited IPO","Feb 27, 2024","Feb 29, 2024","Mar 05, 2024","142","429.00","100","BSE, NSE",""
"Platinum Industries Limited IPO","Feb 27, 2024","Feb 29, 2024","Mar 05, 2024","171","235.32","87","BSE, NSE",""
"GPT Healthcare Limited IPO","Feb 22, 2024","Feb 26, 2024","Feb 29, 2024","186","525.14","80","BSE, NSE",""
"Juniper Hotels Limited IPO","Feb 21, 2024","Feb 23, 2024","Feb 28, 2024","360","1,800.00","40","BSE, NSE",""
"Vibhor Steel Tubes Limited IPO","Feb 13, 2024","Feb 15, 2024","Feb 20, 2024","151","72.17","99","BSE, NSE",""
"Entero Healthcare Solutions Limited IPO","Feb 09, 2024","Feb 13, 2024","Feb 16, 2024","1,258","1,600.00","11","BSE, NSE",""
"Capital Small Finance Bank Limited IPO","Feb 07, 2024","Feb 09, 2024","Feb 14, 2024","468","523.07","32","BSE, NSE",""
"Jana Small Finance Bank Limited IPO","Feb 07, 2024","Feb 09, 2024","Feb 14, 2024","414","570.00","36","BSE, NSE",""
"Rashi Peripherals Limited IPO","Feb 07, 2024","Feb 09, 2024","Feb 14, 2024","311","600.00","48","BSE, NSE",""
"Apeejay Surrendra Park Hotels Limited IPO","Feb 05, 2024","Feb 07, 2024","Feb 12, 2024","155","920.00","96","BSE, NSE",""
"BLS E-Services Limited IPO","Jan 30, 2024","Feb 01, 2024","Feb 06, 2024","135","310.91","108","BSE, NSE",""
"Nova AgriTech Limited IPO","Jan 23, 2024","Jan 25, 2024","Jan 31, 2024","41","143.81","365","BSE, NSE",""
"EPACK Durable Limited IPO","Jan 19, 2024","Jan 24, 2024","Jan 30, 2024","230","640.05","65","BSE, NSE",""
"Medi Assist Healthcare Services Limited IPO","Jan 15, 2024","Jan 17, 2024","Jan 23, 2024","418","1,171.58","35","BSE, NSE",""
"Jyoti CNC Automation Limited IPO","Jan 09, 2024","Jan 11, 2024","Jan 16, 2024","331","1,000.00","45","BSE, NSE",""
